Prenom;Nom;Email;Rôle;Mentor email;Adresse;Code postal;Ville;Pays;Telephone fixe;Telephone mobile;Fonction;Service;Qualification
Said;MOULINE;mouline@lycom.ma;MENTOR, RH;0;10, rue de rabat;75001;Rabat;Maroc;05 05 60 60 60;06 07 08 09 02;Employe libre service;Energies renouvelables;Employe
Kaoutar;LAQEBBAB;kaoutar@lycom.ma;COLLABORATEUR;mouline@lycom.ma;10, rue de rabat;75002;Rabat;Maroc;6 05 60 60 60;7 07 08 09 02;Employe libre service;Energies renouvelables;Employe
Sonia;MEZZOUR;sonia@lycom.,ma;COLLABORATEUR;mouline@lycom.ma;10, rue de rabat;75003;Rabat;Maroc;7 05 60 60 60;8 07 08 09 02;Employe libre service;Energies renouvelables;Employe
Mohamed;EL HAOUARI;haouari@lycom.ma;COLLABORATEUR, MENTOR;mouline@lycom.ma;10, rue de rabat;75001;Rabat;Maroc;05 05 60 60 60;06 07 08 09 02;Employe libre service;Energies renouvelables;Employe
Mourad;HAJJAJI;hajjaji@lycom.ma;COLLABORATEUR, MENTOR;mouline@lycom.ma;10, rue de rabat;75001;Rabat;Maroc;05 05 60 60 60;06 07 08 09 02;Employe libre service;Energies renouvelables;Employe
Lahcen;FARHAT;farhat@lycom.ma;COLLABORATEUR, MENTOR;mouline@lycom.ma;10, rue de rabat;75001;Rabat;Maroc;05 05 60 60 60;06 07 08 09 02;Employe libre service;Energies renouvelables;Employe
Mustapha;ENZILI;mustapha@lycom.ma;COLLABORATEUR, MENTOR;haouari@lycom.ma;10, rue de rabat;75001;Rabat;Maroc;05 05 60 60 60;06 07 08 09 02;Employe libre service;Energies renouvelables;Employe
Mohamed;MAKKAOUI;makkaoui@lycom.ma;COLLABORATEUR, MENTOR;haouari@lycom.ma;10, rue de rabat;75001;Rabat;Maroc;05 05 60 60 60;06 07 08 09 02;Employe libre service;Energies renouvelables;Employe
Samira;LAKHLIFI;lakhlifi@lycom.ma;COLLABORATEUR, MENTOR;hajjaji@lycom.ma;10, rue de rabat;75001;Rabat;Maroc;05 05 60 60 60;06 07 08 09 02;Employe libre service;Energies renouvelables;Employe
Fadoua;ELATRACH;elatrach@lycom.ma;COLLABORATEUR, MENTOR;hajjaji@lycom.ma;10, rue de rabat;75001;Rabat;Maroc;05 05 60 60 60;06 07 08 09 02;Employe libre service;Energies renouvelables;Employe
Safae;BIRROU;safae@lycom.ma;COLLABORATEUR, MENTOR, ADMIN;farhat@lycom.ma;10, rue de rabat;75001;Rabat;Maroc;05 05 60 60 60;06 07 08 09 02;Employe libre service;Energies renouvelables;Employe
Abdelkrim;EL YACOUBI;elyacoubi@lycom.ma;COLLABORATEUR, MENTOR;farhat@lycom.ma;10, rue de rabat;75001;Rabat;Maroc;05 05 60 60 60;06 07 08 09 02;Employe libre service;Energies renouvelables;Employe
